Ma_Don_Vi,Ten_Don_Vi,SBD,Mon_Thi,Diem_Viet,Diem_Nghe,Diem_Doc,Diem_Noi,Tong_Diem,Giai,Lop,Truong
06,Bắc Ninh,06.07.10,Lịch sử,,,,,14.500,Ba,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.08.01,Địa lí,,,,,13.250,K.Khích,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.08.02,Địa lí,,,,,13.750,Ba,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.08.03,Địa lí,,,,,15.750,Nhì,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.08.04,Địa lí,,,,,15.500,Nhì,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.08.05,Địa lí,,,,,16.000,Nhất,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.08.06,Địa lí,,,,,13.000,K.Khích,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.08.07,Địa lí,,,,,13.000,K.Khích,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.08.08,Địa lí,,,,,14.750,Nhì,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.08.09,Địa lí,,,,,15.250,Nhì,11,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.08.10,Địa lí,,,,,17.000,Nhất,12,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.09.01,Tiếng Anh,3,3.60,5.80,1.6,14.000,Ba,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.09.02,Tiếng Anh,3.20,3.50,5.70,1.6,14.000,Ba,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.09.03,Tiếng Anh,3.10,3.40,5.50,1.5,13.500,K.Khích,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.09.04,Tiếng Anh,3.10,4.20,6.60,1.4,15.300,Nhì,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.09.05,Tiếng Anh,3,3.40,5.50,1.4,13.300,K.Khích,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.09.06,Tiếng Anh,3.60,3.60,6.60,1.7,15.500,Nhì,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.09.07,Tiếng Anh,3.80,3.20,6.50,1.4,14.900,Nhì,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.09.08,Tiếng Anh,4,4.20,6.60,1.6,16.400,Nhất,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.09.09,Tiếng Anh,3.60,3.80,6.80,1.3,15.500,Nhì,Trường THPT Chuyên Bắc Ninh
06,Bắc Ninh,06.09.10,Tiếng Anh,3.60,3.30,6.70,1.7,15.300,Nhì,Trường THPT Chuyên Bắc Ninh
07,Bến Tre,07.01.01,Toán,,,,,16.000,K.Khích,12,THPT Chuyên Bến Tre
07,Bến Tre,07.01.06,Toán,,,,,15.500,K.Khích,12,THPT Chuyên Bến Tre
07,Bến Tre,07.02.10,Vật lí,,,,,16.000,K.Khích,11,THPT Chuyên Bến Tre
07,Bến Tre,07.03.10,Hoá học,,,,,12.000,K.Khích,10,THPT Lê Hoài Đôn
07,Bến Tre,07.04.05,Sinh học,,,,,19.750,Ba,12,THPT Chuyên Bến Tre
07,Bến Tre,07.04.06,Sinh học,,,,,21.000,Ba,12,THPT Chuyên Bến Tre
07,Bến Tre,07.04.07,Sinh học,,,,,20.250,Ba,11,THPT Chuyên Bến Tre
07,Bến Tre,07.04.10,Sinh học,,,,,18.000,K.Khích,12,THPT Chuyên Bến Tre
07,Bến Tre,07.05.04,Tin học,,,,,9.895,K.Khích,12,THPT Chuyên Bến Tre
07,Bến Tre,07.05.05,Tin học,,,,,8.070,K.Khích,12,THPT Chuyên Bến Tre
